timestamp,latitude,longitude,heading,speed,easting,northing
1429868726.30838,-33.8940917369,151.1891634694,769.6770688161,7.0360625575,332555.364578025,6248110.9277391
1429868726.30987,-33.8940913341,151.189164057,769.4463837624,7.0360625575,332555.418129863,6248110.97337701
1429868726.31132,-33.8940909276,151.189164645,769.2162848712,7.0643187021,332555.471712074,6248111.01941402
1429868726.31623,-33.894090586,151.1891652468,768.9954615178,7.0360625575,332555.526701212,6248111.05827089
1429868726.31765,-33.8940901773,151.1891658286,768.7674560641,7.0360625575,332555.579707434,6248111.10454138
1429868726.31908,-33.8940897667,151.1891664085,768.5351799979,7.0360625575,332555.632527372,6248111.15102441
1429868726.3205,-33.8940893985,151.1891669241,768.3007267567,6.2793944018,332555.679497625,6248111.19270024
1429868726.32193,-33.8940889839,151.1891674999,768.0686181655,7.0360625575,332555.731937235,6248111.23961191
1429868726.32335,-33.8940885674,151.1891680737,767.8333275493,7.0360625575,332555.784185064,6248111.28673708
1429868726.32476,-33.8940881955,151.1891685819,767.6012189581,6.2542778289,332555.830456336,6248111.3288152
1429868726.3262,-33.8940877734,151.1891691539,767.3722086544,7.0643187021,332555.882528888,6248111.37655313
1429868726.32761,-33.8940873511,151.1891697216,767.1408537007,7.0360625575,332555.934201723,6248111.42430808
1429868726.32902,-33.8940869726,151.1891702264,766.9117596595,6.2793944018,332555.980145964,6248111.46711236
1429868726.33392,-33.8940866102,151.1891708061,766.6919119836,7.0360625575,332556.033048395,6248111.50823938
1429868726.33534,-33.8940861807,151.18917137,766.4627342049,7.0643187021,332556.08435673,6248111.55679774
1429868726.33675,-33.8940857987,151.1891718674,766.2362360262,6.2542778289,332556.129610407,6248111.59996838
1429868726.33818,-33.8940853654,151.1891724272,766.008146835,7.0643187021,332556.180531402,6248111.64893277
1429868726.33962,-33.894084932,151.1891729826,765.7771268313,7.0360625575,332556.231052924,6248111.69790412
1429868726.34107,-33.8940845435,151.1891734765,765.5484514776,6.2793944018,332556.275965602,6248111.74178955
1429868726.3425,-33.8940841064,151.1891740278,765.3237955239,7.0360625575,332556.326095338,6248111.79116189
1429868726.34394,-33.8940836675,151.1891745771,765.1008143202,7.0360625575,332556.376031825,6248111.84072967
1429868726.34538,-33.8940832758,151.1891750634,764.877246954,6.2542778289,332556.42024778,6248111.88496256
1429868726.34679,-33.8940828315,151.1891756108,764.6512512003,7.0643187021,332556.469994099,6248111.93511994
1429868726.35176,-33.8940824544,151.1891761723,764.431836921,7.0360625575,332556.521191562,6248111.97786086
1429868726.35318,-33.894082058,151.1891766532,764.2062598548,6.2542778289,332556.564887273,6248112.02260775
1429868726.3546,-33.8940816102,151.1891771921,763.9800966261,7.0360625575,332556.613846117,6248112.07314139
1429868726.35601,-33.8940811589,151.189177731,763.7545195599,7.0643187021,332556.66280118,6248112.12407136
1429868726.35745,-33.8940807577,151.1891782062,763.5305335062,6.2542778289,332556.705965507,6248112.16933105
1429868726.35887,-33.8940803047,151.1891787387,763.3068824025,7.0360625575,332556.754326104,6248112.22043751
1429868726.36031,-33.8940798482,151.1891792712,763.0846548363,7.0643187021,332556.80268089,6248112.27193775
1429868726.36176,-33.8940794408,151.1891797427,762.8641857576,6.2793944018,332556.845485749,6248112.31788145
1429868726.36318,-33.8940789826,151.1891802689,762.6400322289,7.0360625575,332556.893248496,6248112.36954708
1429868726.36461,-33.8940785228,151.1891807928,762.4112731377,7.0360625575,332556.940806667,6248112.42140109
1429868726.3695,-33.8940781809,151.1891812732,762.1936426308,6.2793944018,332556.98456729,6248112.46009143
1429868726.37094,-33.8940777675,151.1891817371,761.9753507271,6.2793944018,332557.026653413,6248112.50669441
1429868726.37235,-33.8940773026,151.1891822547,761.7555515484,7.0360625575,332557.073610943,6248112.55909296
1429868726.37377,-33.8940768879,151.1891827128,761.5322353947,6.2542778289,332557.11517055,6248112.60583051
1429868726.37518,-33.8940764717,151.189183169,761.309756616,6.2542778289,332557.15654802,6248112.65272938
1429868726.37663,-33.894076,151.1891836822,761.0876127873,7.0643187021,332557.203078722,6248112.70588343
1429868726.3781,-33.8940755808,151.1891841345,760.8689021961,6.2542778289,332557.244092562,6248112.75310063
1429868726.37952,-33.8940751603,151.1891845849,760.6503590799,6.2542778289,332557.284925934,6248112.80047399
1429868726.38096,-33.8940746855,151.1891850895,760.4345793012,7.0360625575,332557.33066115,6248112.85394275
1429868726.3824,-33.8940742587,151.1891855397,760.217375985,6.3047135196,332557.371461189,6248112.9020083
1429868726.38407,-33.894073834,151.1891859844,760.0031034813,6.2542778289,332557.41175502,6248112.94984141
1429868726.3855,-33.8940733545,151.1891864825,759.7869050151,7.0360625575,332557.45688311,6248113.00382357
1429868726.38691,-33.8940729269,151.1891869234,759.5737210989,6.2542778289,332557.496816888,6248113.05195768
1429868726.39196,-33.8940725994,151.1891873589,759.3691568447,6.3047135196,332557.536456331,6248113.08899179
1429868726.39343,-33.8940721154,151.1891878507,759.155051816,7.0360625575,332557.580985383,6248113.14346913
1429868726.39488,-33.8940716838,151.1891882858,758.9405280998,6.2542778289,332557.620385356,6248113.19204116
1429868726.3963,-33.8940712509,151.1891887191,758.7309448961,6.2542778289,332557.659605293,6248113.24075866
1429868726.39775,-33.8940707584,151.1891892083,758.5242925049,7.0928027096,332557.703882557,6248113.29616903
1429868726.39916,-33.8940703228,151.1891896377,758.3163003137,6.2542778289,332557.742748225,6248113.34516963
1429868726.4006,-33.894069886,151.1891900653,758.1114901475,6.2542778289,332557.781437123,6248113.39430993
1429868726.40554,-33.8940694663,151.1891905635,757.915910041,7.0360625575,332557.826688003,6248113.44166576
1429868726.40696,-33.8940690253,151.1891909891,757.7126071498,6.2793944018,332557.865187201,6248113.49127313
1429868726.40837,-33.8940685847,151.1891914112,757.5090530461,6.2542778289,332557.903356741,6248113.54081792
1429868726.4098,-33.8940680877,151.1891918838,757.3046615674,7.0360625575,332557.946098774,6248113.59670831
1429868726.41125,-33.8940676446,151.1891923021,757.1012749387,6.2542778289,332557.983914663,6248113.64652354
1429868726.41267,-33.8940671985,151.1891927202,756.8971346725,6.2793944018,332558.021704306,6248113.69667354
1429868726.4141,-33.8940667512,151.1891931363,756.6905660188,6.2793944018,332558.059313963,6248113.74695866
1429868726.41552,-33.8940662486,151.1891936004,756.4875980776,7.0360625575,332558.101253954,6248113.80345339
1429868726.41693,-33.8940658006,151.1891940111,756.2846301364,6.2542778289,332558.138355819,6248113.85380268
1429868726.41837,-33.8940653496,151.1891944215,756.0778102702,6.2793944018,332558.175425667,6248113.90448705
1429868726.41978,-33.8940648408,151.189194881,755.870153029,7.0643187021,332558.216922733,6248113.96165744
1429868726.42469,-33.8940644795,151.1891952993,755.6691754241,6.2542778289,332558.254907307,6248114.00241116
1429868726.42612,-33.8940640267,151.1891957022,755.4597596954,6.2542778289,332558.291283351,6248114.05328731
1429868726.42753,-33.8940635138,151.1891961551,755.2536934667,7.0643187021,332558.332162117,6248114.11090143
1429868726.42893,-33.8940630585,151.1891965541,755.0487158255,6.2542778289,332558.368170258,6248114.16203863
1429868726.43041,-33.8940626021,151.1891969511,754.8424821218,6.2542778289,332558.403994662,6248114.21330471
1429868726.43182,-33.8940620872,151.1891973956,754.6356622556,7.0360625575,332558.444088964,6248114.27112395
1429868726.43323,-33.8940616266,151.1891977902,754.4295960269,6.2793944018,332558.47968531,6248114.32285382
1429868726.43465,-33.8940611666,151.1891981813,754.2232785857,6.2542778289,332558.514953631,6248114.37450403
1429868726.43607,-33.8940606478,151.189198619,754.015370132,7.0360625575,332558.55442019,6248114.43275357
1429868726.44108,-33.8940602554,151.1891990202,753.8119368491,6.2542778289,332558.590756886,6248114.47691496
1429868726.44253,-33.8940597901,151.1891994069,753.6107273954,6.2793944018,332558.625608088,6248114.52914975
1429868726.44396,-33.8940593255,151.1891997901,753.4111926917,6.2542778289,332558.660137736,6248114.58129668
1429868726.44554,-33.8940588579,151.1892001729,753.2098995005,6.2793944018,332558.694622704,6248114.63377398
1429868726.44707,-33.8940583911,151.1892005522,753.0113696468,6.2542778289,332558.728787162,6248114.68616089
1429868726.44851,-33.8940579213,151.189200931,752.8109975681,6.2793944018,332558.762905518,6248114.73887728
1429868726.4502,-33.8940574523,151.1892013064,752.6143936769,6.2542778289,332558.79670531,6248114.79150021
1429868726.4519,-33.8940569804,151.1892016814,752.4172873607,6.2793944018,332558.830459112,6248114.84445076
1429868726.45358,-33.8940565092,151.1892020529,752.2191761945,6.2542778289,332558.863895813,6248114.89730514
1429868726.45501,-33.8940560351,151.189202424,752.0257543283,6.2793944018,332558.89728528,6248114.95048618
1429868726.46051,-33.8940556303,151.1892028061,751.838005379,6.2542778289,332558.931834294,6248114.99599846
1429868726.46196,-33.8940551561,151.1892031719,751.6401454253,6.2542778289,332558.964735034,6248115.04918813
1429868726.46343,-33.8940546214,151.1892035813,751.4525014466,7.0360625575,332559.001546852,6248115.10915068
1429868726.46486,-33.8940541432,151.1892039447,751.2654436304,6.2793944018,332559.034224713,6248115.16277192
1429868726.46633,-33.894053666,151.1892043049,751.0789719767,6.2542778289,332559.066597608,6248115.21628448
1429868726.46788,-33.8940531878,151.1892046632,750.8991155855,6.2542778289,332559.098799269,6248115.26990027
